player_id,player_name,team,selected_slug,decision,notes
"83bc3f7a-7c26-4faa-92f2-933bdcb748c2","Iñaki Williams","Athletic Club","inaki-williams-arthuer","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"df216cb7-939b-47b9-8470-749ab4d334b3","Urko González","RCD Espanyol","urko-gonzalez-de-zarate-quiros","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"4d110094-84d7-48ec-bc2b-b587b8f41faa","Fede Redondo","Elche CF","federico-redondo-solari","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"9c982d7d-cf82-4635-9da0-ac0827925446","Daniel Lorenzo Guerrero","Málaga CF","daniel-lorenzo-guerrero","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"e37fb60c-a5e2-4956-b251-1264453ab851","Rafael Rodríguez Ruiz","Málaga CF","rafael-rodriguez-ruiz","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"95cadb09-32ab-4d60-ae48-d7c12edae341","Carlos Ruiz Rubio","Málaga CF","carlos-ruiz-rubio","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"136b3790-9567-492c-aec6-2271d2b05b6d","Juan Cruz Díaz Espósito","Málaga CF","juan-cruz-diaz-esposito","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"2cf5c505-e46c-48c6-8aa9-319ac17363ff","Lucas Torró","CA Osasuna","lucas-torro-marset","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"0ccb80f2-591a-47f5-8adf-647f808d15d5","Raúl García de Haro","CA Osasuna","raul-garcia-de-haro","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"e032bbb0-c6b1-4b29-a96c-46a757936337","Pedro Felipe de Jesus Gomes","Racing de Santander","pedro-felipe-de-jesus-gomes","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"795d2bc0-d7b5-4a0f-859b-5c5e9c68a2ec","Luiz Felipe Ramos Marchi","Rayo Vallecano","luiz-felipe-ramos-marchi","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"39dd8643-4a50-4890-b2a8-20d28af3216d","Federico Valverde 1.º","Real Madrid","federico-santiago-valverde-dipetta","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"e58b365c-4c91-454b-bd4f-44f0cb69c99c","Raúl Asencio del Rosario","Real Madrid","raul-asencio-del-rosario","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"ea359cce-fb80-4a6c-a1f9-3a0b496b3363","Marcos do Nascimento Teixeira","Sevilla FC","marcos-do-nascimento-teixeira","ACCEPT","¡Ya está resuelto en vuestros propios datos! En sorare-auto-audit.csv aparece 'Marcão' (Sevilla FC) verificado con ese mismo slug exacto (nacido 1996-06-05, Sevilla FC, VERIFIED_API_IDENTITY). Es la misma persona con dos nombres distintos en vuestra base. Aplicar el slug y revisar si también hay player_id duplicado."
"fd111d17-457c-4e16-bf15-ea1aaa822185","Jorge de Frutos Sebastián","Rayo Vallecano","jorge-de-frutos-sebastian","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
